#Trajectory Data
time                bank                altitude            radius              longitude           latitude            velocity            fpa                 heading             range               
s                   deg                 km                  m                   rad                 rad                 m/s                 rad                 rad                 km                  
0.0000              -15.0000            143.0000            3540000.0000        -0.0012             -0.7662             5505.0000           -0.2470             0.0871              0.0000             
0.3003              -15.0000            142.5961            3539596.0769        -0.0006             -0.7662             5505.2507           -0.2467             0.0875              1.5384             
0.6006              -15.0000            142.1926            3539192.5717        0.0000              -0.7661             5505.5011           -0.2464             0.0880              3.0772             
0.9009              -15.0000            141.7895            3538789.4845        0.0007              -0.7661             5505.7513           -0.2461             0.0884              4.6163             
1.2012              -15.0000            141.3868            3538386.8156        0.0013              -0.7660             5506.0013           -0.2459             0.0888              6.1558             
1.5015              -15.0000            140.9846            3537984.5650        0.0019              -0.7660             5506.2511           -0.2456             0.0893              7.6956             
1.8018              -15.0000            140.5827            3537582.7329        0.0025              -0.7660             5506.5006           -0.2453             0.0897              9.2358             
2.1021              -15.0000            140.1813            3537181.3195        0.0032              -0.7659             5506.7500           -0.2451             0.0901              10.7763            
2.4024              -15.0000            139.7803            3536780.3250        0.0038              -0.7659             5506.9991           -0.2448             0.0906              12.3171            
2.7027              -15.0000            139.3797            3536379.7496        0.0044              -0.7658             5507.2480           -0.2445             0.0910              13.8584            
3.0030              -15.0000            138.9796            3535979.5935        0.0050              -0.7658             5507.4966           -0.2442             0.0914              15.3999            
3.3033              -15.0000            138.5799            3535579.8569        0.0057              -0.7658             5507.7451           -0.2440             0.0919              16.9418            
3.6036              -15.0000            138.1805            3535180.5399        0.0063              -0.7657             5507.9933           -0.2437             0.0923              18.4841            
3.9039              -15.0000            137.7816            3534781.6428        0.0069              -0.7657             5508.2413           -0.2434             0.0927              20.0267            
4.2042              -15.0000            137.3832            3534383.1656        0.0076              -0.7656             5508.4890           -0.2431             0.0932              21.5697            
4.5045              -15.0000            136.9851            3533985.1088        0.0082              -0.7656             5508.7366           -0.2429             0.0936              23.1130            
4.8048              -15.0000            136.5875            3533587.4723        0.0088              -0.7655             5508.9839           -0.2426             0.0940              24.6566            
5.1051              -12.8979            136.1903            3533190.2563        0.0094              -0.7655             5509.2309           -0.2423             0.0945              26.2006            
5.4054              -6.8919             135.7935            3532793.4611        0.0101              -0.7655             5509.4778           -0.2421             0.0949              27.7450            
5.7057              -0.8859             135.3971            3532397.0868        0.0107              -0.7654             5509.7244           -0.2418             0.0953              29.2897            
6.0060              5.1201              135.0011            3532001.1335        0.0113              -0.7654             5509.9708           -0.2415             0.0958              30.8347            
6.3063              11.1261             134.6056            3531605.6015        0.0119              -0.7653             5510.2169           -0.2412             0.0962              32.3801            
6.6066              17.1321             134.2105            3531210.4909        0.0126              -0.7653             5510.4628           -0.2410             0.0967              33.9259            
6.9069              23.1381             133.8158            3530815.8019        0.0132              -0.7652             5510.7085           -0.2407             0.0971              35.4719            
7.2072              29.1441             133.4215            3530421.5346        0.0138              -0.7652             5510.9540           -0.2404             0.0975              37.0184            
7.5075              35.1502             133.0277            3530027.6894        0.0145              -0.7652             5511.1992           -0.2401             0.0980              38.5651            
7.8078              41.1562             132.6343            3529634.2662        0.0151              -0.7651             5511.4442           -0.2399             0.0984              40.1122            
8.1081              47.1622             132.2413            3529241.2654        0.0157              -0.7651             5511.6889           -0.2396             0.0988              41.6597            
8.4084              53.1682             131.8487            3528848.6871        0.0163              -0.7650             5511.9334           -0.2393             0.0993              43.2075            
8.7087              59.1742             131.4565            3528456.5314        0.0170              -0.7650             5512.1777           -0.2391             0.0997              44.7557            
9.0090              65.1802             131.0648            3528064.7985        0.0176              -0.7649             5512.4217           -0.2388             0.1001              46.3041            
9.3093              71.1862             130.6735            3527673.4887        0.0182              -0.7649             5512.6655           -0.2385             0.1006              47.8530            
9.6096              77.1922             130.2826            3527282.6020        0.0189              -0.7648             5512.9090           -0.2382             0.1010              49.4022            
9.9099              83.1982             129.8921            3526892.1387        0.0195              -0.7648             5513.1523           -0.2380             0.1014              50.9517            
